Total Revenue: ['391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00']
         748604 function calls (725758 primitive calls) in 1.833 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2605    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2241    0.000    0.000    0.001    0.000 css_parser.py:305(match)
     2693    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
      295    0.000    0.000    0.001    0.000 _connection.py:352(receive_data)
     2693    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
      125    0.000    0.000    0.005    0.000 typing.py:753(Union)
      120    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
      235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
     1023    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
      590    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
     1303    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     2692    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      210    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      295    0.000    0.000    0.001    0.000 _receivebuffer.py:57(__bool__)
       95    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
     1849    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      256    0.000    0.000    0.284    0.001 http11.py:313(__iter__)
      180    0.000    0.000    0.032    0.000 _parser.py:970(parse)
      514    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
       27    0.000    0.000    0.002    0.000 enum.py:498(__new__)
       77    0.000    0.000    0.003    0.000 css_parser.py:450(parse_attribute_selector)
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      295    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
      146    0.000    0.000    0.001    0.000 enum.py:353(__setitem__)
      630    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     2584    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     3001    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      690    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
      255    0.000    0.000    0.005    0.000 _decoders.py:74(decode)
     2548    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      179    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
  239/236    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      420    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
    210/4    0.000    0.000    0.209    0.052 <frozen importlib._bootstrap_external>:1020(exec_module)
      819    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      703    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
     1141    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      411    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      511    0.000    0.000    0.000    0.000 _decoders.py:174(decode)
      500    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      137    0.000    0.000    0.000    0.000 css_parser.py:357(__init__)
      261    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
      663    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      301    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      256    0.000    0.000    0.285    0.001 _client.py:122(__iter__)
        1    0.000    0.000    0.002    0.002 _models.py:571(text)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1332    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      146    0.000    0.000    0.000    0.000 util.py:18(lower)
      125    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
       57    0.000    0.000    0.000    0.000 dataclasses.py:768(_get_field)
      180    0.000    0.000    0.020    0.000 _compiler.py:576(_code)
  200/160    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
       21    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
      235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      421    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      257    0.000    0.000    0.000    0.000 _connection.py:248(_server_switch_event)
      235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
     1472    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      256    0.000    0.000    0.284    0.001 connection_pool.py:346(__iter__)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
      256    0.000    0.000    0.285    0.001 default.py:102(__iter__)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      392    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      751    0.000    0.000    0.000    0.000 element.py:1543(get)
      644    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
      436    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      267    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
  137/132    0.000    0.000    0.002    0.000 css_parser.py:383(freeze)
    551/8    0.000    0.000    0.208    0.026 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      118    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
      658    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       79    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        3    0.000    0.000    0.000    0.000 _headers.py:150(normalize_and_validate)
      135    0.000    0.000    0.000    0.000 dataclasses.py:709(_is_type)
      652    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
       24    0.000    0.000    0.003    0.000 dataclasses.py:470(add_fns_to_class)
      840    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      782    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      782    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      180    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
      606    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       19    0.000    0.000    0.002    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
      591    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      481    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        1    0.000    0.000    0.130    0.130 financial_enhanced.py:40(parse_financial_table)
     1113    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      186    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
     1659    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     1350    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      739    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      650    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      355    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
     1350    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       91    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
      325    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      259    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      102    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
      521    0.000    0.000    0.000    0.000 typing.py:2367(cast)
      245    0.000    0.000    0.000    0.000 enum.py:695(__call__)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       34    0.000    0.000    0.001    0.000 typing.py:1207(_generic_class_getitem)
       57    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       18    0.000    0.000    0.000    0.000 dataclasses.py:610(_init_fn)
