Total Revenue: ['391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00']
         719712 function calls (699924 primitive calls) in 7.376 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      938    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      137    0.000    0.000    0.000    0.000 css_parser.py:357(__init__)
      331    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
      118    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
        6    0.000    0.000    0.002    0.000 feedparser.py:218(_parsegen)
      146    0.000    0.000    0.000    0.000 util.py:18(lower)
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      3/2    0.000    0.000    1.529    0.765 sessions.py:159(resolve_redirects)
      412    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
    162/4    0.000    0.000    0.225    0.056 <frozen importlib._bootstrap_external>:1020(exec_module)
      135    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      179    0.000    0.000    0.022    0.000 _compiler.py:576(_code)
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
     1461    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.001    0.000 typing.py:2994(__new__)
  205/165    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      751    0.000    0.000    0.000    0.000 element.py:1543(get)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
       40    0.000    0.000    0.000    0.000 message.py:511(set_raw)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      618    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
        1    0.000    0.000    0.140    0.140 financial.py:40(parse_financial_table)
  137/132    0.000    0.000    0.002    0.000 css_parser.py:383(freeze)
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
      573    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      311    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      179    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    1.258    0.629 client.py:324(begin)
       40    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       41    0.000    0.000    0.008    0.000 response.py:469(_decode)
      707    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        2    0.000    0.000    0.141    0.071 client.py:213(_read_headers)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
        2    0.000    0.000    1.114    0.557 client.py:291(_read_status)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      118    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
     1659    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x1047e8180}
      274    0.000    0.000    0.000    0.000 typing.py:1368(__setattr__)
        2    0.000    0.000    1.260    0.630 connection.py:485(getresponse)
       40    0.000    0.000    0.000    0.000 _collections.py:300(add)
        2    0.000    0.000    0.000    0.000 message.py:483(items)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
  538/520    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
